fixture_id	profile	exact_release	calcite_version	parser_config	source_archive_url	sha512	git_tag	git_commit	grammar_path	line_range
flink-grammar.insert-recovery	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:2306-2379 (RichSqlInsert is_flink_insert_boundary)	2306-2379
flink-grammar.update-where	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj:1794-1832 (SqlUpdate)	1794-1832
flink-grammar.delete-where	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj:1768-1789 (SqlDelete)	1768-1789
flink-grammar.update-comment	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	D-04 gate: Doris-only UPDATE COMMENT (parser.mbt parse_update)	009
flink-grammar.delete-partition	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	D-04 gate: Doris-only DELETE PARTITION (parser.mbt parse_delete)	009
flink-grammar.update-incomplete	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj:1794-1832 (SqlUpdate SET)	1794-1832
flink-grammar.delete-incomplete	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj:1768-1789 (SqlDelete WHERE)	1768-1789
flink-grammar.update-recovery	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj:1794-1832 (SqlUpdate)	1794-1832
flink-grammar.explain-plan-for	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:3079-3117 (SqlRichExplain)	3079-3117
flink-grammar.show-tables-from-like	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl (SqlShowTables 674-714, SqlShow* family)	674-714
flink-grammar.show-catalogs	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl (SqlShowCatalogs, Parser.tdd:651-727)	651-727
flink-grammar.show-negative	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl (SqlShowTables 674-714)	674-714
flink-grammar.describe-table	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:867-880 (SqlRichDescribeTable)	867-880
flink-grammar.describe-extended-database	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:867-880 (SqlRichDescribeTable)	867-880
flink-grammar.analyze-table	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:3413-3443 (SqlAnalyzeTable)	3413-3443
flink-grammar.analyze-buckets	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	D-04 gate: Doris-only ANALYZE BUCKETS	009
flink-grammar.use-catalog	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl (SqlUseCatalog/SqlUseDatabase)	651-727
flink-grammar.set-option	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:3294-3333 (SqlSetOption)	3294-3333
flink-grammar.reset-option	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:3294-3333 (SqlReset)	3294-3333
flink-grammar.named-arg	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj:8794 (NAMED_ARGUMENT_ASSIGNMENT)	8794
flink-grammar.cast-timestamp-ltz	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser.tdd:759-765 (dataTypeParserMethods SqlTimestampLtzTypeName)	759-765
flink-grammar.cast-map-type	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser.tdd:759-765 (dataTypeParserMethods SqlMapTypeName)	759-765
flink-grammar.row-ctor	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj (SqlRow)	7779
flink-grammar.array-ctor	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj (SqlCollectionTypeNameSpec)	8793-8795
flink-grammar.create-catalog	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:142-188 (SqlCreateCatalog)	142-188
flink-grammar.create-database	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:301-372 (SqlCreateDatabase)	301-372
flink-grammar.drop-catalog	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:173-188 (SqlDropCatalog)	173-188
flink-grammar.drop-database	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:351-372 (SqlDropDatabase)	351-372
flink-grammar.alter-catalog	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser.tdd:659 (SqlAlterCatalog)	659
flink-grammar.create-catalog-incomplete	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:142-188 (SqlCreateCatalog WITH Properties)	142-188
flink-grammar.drop-database-incomplete	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:351-372 (SqlDropDatabase missing name)	351-372
flink-grammar.create-view	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:2414-2439 (SqlCreateView)	2414-2439
flink-grammar.create-view-field-list	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:2414-2439 (SqlCreateView field list)	2414-2439
flink-grammar.create-function	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:390-480 (SqlCreateFunction LANGUAGE)	390-480
flink-grammar.create-function-python	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:390-480 (SqlCreateFunction TEMPORARY SYSTEM LANGUAGE PYTHON)	390-480
flink-grammar.drop-view	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl (SqlDropView, statementParserMethods Parser.tdd:651-727)	651-727
flink-grammar.drop-function	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl (SqlDropFunction, statementParserMethods Parser.tdd:651-727)	651-727
