word	classification	introduced_profile	source
DISTINCTROW	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/ (Phase 1 clause/recovery word; absent from the official reserved list)
EXCEPT	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
INNER	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
LEFT	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
RIGHT	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
FULL	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
CROSS	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
NATURAL	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
OUTER	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
PARTITION	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
SAMPLE	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/ (Phase 1 clause/recovery word; absent from the official reserved list)
TABLESAMPLE	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
OVER	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/ (Phase 1 clause/recovery word; absent from the official reserved list)
ASC	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
DESC	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
NULLS	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/ (Phase 1 clause/recovery word; absent from the official reserved list)
FIRST	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/ (Phase 1 clause/recovery word; absent from the official reserved list)
LAST	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/ (Phase 1 clause/recovery word; absent from the official reserved list)
ROWS	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
RANGE	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
GROUPS	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/ (Phase 1 clause/recovery word; absent from the official reserved list)
BETWEEN	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
CURRENT	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
ROW	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
UNBOUNDED	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
PRECEDING	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
FOLLOWING	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
OFFSET	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/ (Phase 1 clause/recovery word; absent from the official reserved list)
OUTFILE	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
TABLET	contextual	3.x	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/ (TABLET clause; DorisFeature::Tablet 3.x; contextual per D-14 although listed in the official reserved keywords)
INSERT	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
UPDATE	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
DELETE	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
ALTER	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
DROP	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
TRUNCATE	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
OVERWRITE	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
VALUES	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
SET	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
WHEN	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
THEN	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
DEFAULT	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
CREATE	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
TABLE	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
INDEX	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
IF	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
EXISTS	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
KEY	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
DUPLICATE	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
UNIQUE	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
DISTRIBUTED	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
AUTO	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
LIST	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
MERGE	reserved	4.x	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-modification/DML/MERGE-INTO/ (4.x-doc-only statement per D-09; not in the official reserved list; DorisFeature::MergeInto 4.x)
BUCKETS	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (DISTRIBUTED BY ... BUCKETS clause; absent from the official reserved list)
PROPERTIES	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (PROPERTIES clause; absent from the official reserved list)
COMMENT	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (COMMENT clause; absent from the official reserved list)
AGGREGATE	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (AGGREGATE key model; absent from the official reserved list)
ENGINE	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (ENGINE = clause; absent from the official reserved list)
VIEW	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/view/CREATE-VIEW/ (CREATE VIEW statement; absent from the official reserved list)
MATCHED	contextual	4.x	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-modification/DML/MERGE-INTO/ (WHEN MATCHED clause; absent from the official reserved list)
LABEL	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-modification/DML/INSERT/ (WITH LABEL clause; absent from the official reserved list)
HASH	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (DISTRIBUTED BY HASH clause; absent from the official reserved list)
RANDOM	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (DISTRIBUTED BY RANDOM clause; absent from the official reserved list)
LESS	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (VALUES LESS THAN clause; absent from the official reserved list)
THAN	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (VALUES LESS THAN clause; absent from the official reserved list)
PARTITIONS	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (partition-list clause; absent from the official reserved list)
TEMPORARY	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (CREATE TEMPORARY TABLE modifier; absent from the official reserved list)
EXTERNAL	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (CREATE EXTERNAL TABLE modifier; absent from the official reserved list)
MATERIALIZED	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/sync-materialized-view/CREATE-MATERIALIZED-VIEW/ (CREATE MATERIALIZED VIEW word; absent from the official reserved list)
AUTO_INCREMENT	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (column option; absent from the official reserved list)
CURRENT_TIMESTAMP	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (DEFAULT/ON UPDATE value; absent from the official reserved list)
GENERATED	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (generated-column word; absent from the official reserved list)
ALWAYS	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/table/CREATE-TABLE/ (generated-column word; absent from the official reserved list)
ASYNC	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/async-materialized-view/CREATE-ASYNC-MATERIALIZED-VIEW/ (async materialized view prefix; absent from the official reserved list)
BUILD	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/async-materialized-view/CREATE-ASYNC-MATERIALIZED-VIEW/ (BUILD IMMEDIATE/DEFERRED clause; absent from the official reserved list)
REFRESH	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/async-materialized-view/CREATE-ASYNC-MATERIALIZED-VIEW/ (REFRESH COMPLETE/AUTO clause; absent from the official reserved list)
IMMEDIATE	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/async-materialized-view/CREATE-ASYNC-MATERIALIZED-VIEW/ (BUILD IMMEDIATE mode; absent from the official reserved list)
DEFERRED	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/async-materialized-view/CREATE-ASYNC-MATERIALIZED-VIEW/ (BUILD DEFERRED mode; absent from the official reserved list)
COMPLETE	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/async-materialized-view/CREATE-ASYNC-MATERIALIZED-VIEW/ (REFRESH COMPLETE method; absent from the official reserved list)
MANUAL	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/async-materialized-view/CREATE-ASYNC-MATERIALIZED-VIEW/ (ON MANUAL trigger; absent from the official reserved list)
SCHEDULE	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/async-materialized-view/CREATE-ASYNC-MATERIALIZED-VIEW/ (ON SCHEDULE trigger; absent from the official reserved list)
EVERY	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/async-materialized-view/CREATE-ASYNC-MATERIALIZED-VIEW/ (ON SCHEDULE EVERY interval; absent from the official reserved list)
STARTS	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/async-materialized-view/CREATE-ASYNC-MATERIALIZED-VIEW/ (STARTS start-time clause; absent from the official reserved list)
COMMIT	contextual	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/table-and-view/async-materialized-view/CREATE-ASYNC-MATERIALIZED-VIEW/ (ON COMMIT trigger; absent from the official reserved list)
LOAD	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
EXPORT	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
GRANT	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
REVOKE	reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/
ADMIN	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
CANCEL	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
STOP	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
PAUSE	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
RESUME	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
RECOVER	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
KILL	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
INSTALL	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
UNINSTALL	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
BACKUP	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
RESTORE	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
COMPACT	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
FLUSH	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
WARM	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
CLEAR	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
SWITCH	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
RECYCLE	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/basic-element/reserved-keywords/ (absent from the official reserved list)
UPSERT	non-reserved	2.1	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-modification/DML/INSERT/ (UPSERT INTO; absent from the official reserved list)
